Text,Religious#Icon,Religious#Practice,Religious#Place,God,Religious#Group
এখন ভাগ কলকাতার রাস্তার কুত্তারা। শালা মালাউন ইন্ডিয়ার বাচ্চাদের মুখে এই একটা বুলি ছাড়া আর কোনো কথা নাই। শালা তোরা এই সাহায্য করছিলি তোদের নিজেদের সারথে কারণ তোদের দুইদিকে ছিল পাকিস্তান। আর তোরা না সাহায্য করলেও আমরা সাধীন হতাম হয়ত একটু সময় লাগত কিন্তু এর বিনিময়ে তোরা এইদেশ থেকে যে পরিমাণ সম্পদ নিছস তা দিয়ে তোদের ঋণ শোধ হয়ে আরও বেশি হয়ে গেছে তারপর ও তোদের মুখে এই এক বুলি মানায় না বরং সেই এর দিকে তাকা তোদের সাধীনতার জন্য নিঃসার্থ ভাবে কাজ করছে এদেশের এ কে ফজলুল হক সূর্যস,2,2,2,2,2
"মসজিদে সাদা পোষাকের পুলিশ থাকবে, ওয়াজ মাহফিল রেকর্ড করা হবে",2,2,2,2,2
"ছোবাহানাল্লাহ,ওয়াজ এখন বাংলা ছবির মত হয়ে গেছে।",2,2,2,2,2
আল্লাহ্ তায়ালা এমন মানুষকে দুনিয়ার তে এবং আখেরাতে কঠিন বিচার যেনো করে,2,2,2,2,2
"সে কোরআন মানে না।আর কোরআন লিখা হয়েছে আরবি ভাষায়, তো কাফের শব্দটা যেহেতু আরবি সেহেতু হিন্দুদের মানার কি দরকার",2,2,2,2,2
আজাহারী যে জঙ্গি আস্তানার বীজ বপন করে গেছে এ জন্যই তাকে বাংলাদেশ থেকে পালিয়ে বেড়াতে হচ্ছে । শালা জঙ্গি,2,2,2,2,2
"সানি তুমিতো বললে কোন ধর্ম বিরুধী না,তাহলে দেখতে পাচ্ছি কুখ্যাত একটা ইসলাম বিরুধী।",2,2,2,2,2
তোমরা ধর্ম নিয়ে এগুলো কি ফাইসলামি শুরু করছ। মানুষ যে ধর্ম নিয়ে জন্মায় তাহাই ধর্ম!,2,2,2,2,2
মুসলমানদের কুকুর বললো ছাত্র ইউনিয়ন সভাপতি,2,2,2,2,3
দাঁড়ি টুপিওয়ালাকে জঙ্গি বললে প্রতিবাদ হয় না কিন্তু হিন্দুদের মালাউন বলায় শাহবাগে তীব্র আন্দোলন,2,2,2,2,2
ধর্মের বিরুদ্ধে কথা বলাটা আজ ফ্যাশন হয়ে দাঁড়িয়েছে - কাজী ফিরোজ রশীদ,2,2,2,2,2
পৃথীবীতে শধু মুসলমান থাকবে। অন্য ধর্মের মানুষকে থাকলে কল্লা কাটা হবে।,2,2,2,2,3
"ধর্মনিরপেক্ষতার নমুনা, ভারতের মহারাষ্ট্রে নিষিদ্ধ হলো গরু জবাই",2,2,2,2,2
ভাজ্ঞিস তোদের ব্রিটিশরা সভ্য করেছিলো আর এখন আসছিস তুই অন্যের ধর্ম নিয়ে কথা বলতে সালা গোমুত্রখোর।,2,3,2,2,3
দিবাকর মানবে জংগি আর এস এস এর কথা ৷ মানবে না বেদ না মানবে গীতা গান্ধি হল আতংবাদি মোদি দেশ ভক্ত,2,2,2,2,2
"সাকিব-আল-হাসান কে দিয়ে মন্দির উদ্বোধনের খুশিতে, ইন্ডিয়াতে ক্রিকেটার ধোনি কে দিয়ে গরু জবাই করে রাষ্ট্রীয়ভাবে কাঙ্গালী ভোজের আয়োজন করা হোক।",2,2,2,2,2
"উনি বললেন উনার ঠাকুরদা বাংলাদেশ দেশ থেকে গেছে তাতে আমরা অনেক খুসি কারন পাগল ছাগল দেশে না থাকায় ভাল,রবীন্দ্রনাথ বড় না বেদ/ কৃষ্ণ বড়?",2,2,2,2,2
"সে বিজেপি আরএসএস এর কর্মী,সে দাঙ্গা বাধানোর জন্য ইসলাম কে অপমান করে বিভিন্ন সময়ে সোস্যাল মিডিয়া তে গুজব ছড়িয়ে যাচ্ছে।",2,2,2,2,2
এখানে যত মালাউন আছে সবার মা বোন দের পাকিস্তানিরা চোদে পাকিস্তান জিন্দাবাদ,2,2,2,2,3
এই মালাউন এর বাচ্চায় এম্নেই মরবো,2,2,2,2,3
তুই সালা কাফের তাতে কোন সন্দেহ নাই,2,2,2,2,3
চালু হয়ে যাক মালাউনের উপর মাইর।,2,2,2,2,3
হযরত বৌদ্ধ? শালা ছাগল!!,2,2,2,2,3
"বলছিলাম হজ্জ্বে যারা যায় তারা সবাই বেকার, প্রধানমন্ত্রী চাকরি খাইছে, এখন আমি নিজেই বেকার",2,2,2,2,2
তসলিমা নাসরিনের মত তুমি ও টাকা পাও কাফের,2,2,2,2,2
"নাস্তিকদের সাথে তর্ক করা বোকামি কারন এরা হল নাস্তিক মানে কোন কিছুতে এরা বিশ্বাস করে না,সময় এলে এরা নিজেরাই বুজে নিবে।",2,2,2,2,2
তর মা কে চোদী শালি দেহ ব্যবসায়ী। বাংলাদেশের সব মুসলিম মেয়েরা ঘরে ঘরে ইমু সেক্স করে রোজগার করে ভাত খায়,2,2,2,2,3
"শিব একটা ধর্ষক ছিল, সে ৬০ হাজার কুমারী মেয়েকে ধর্ষণ করেছিল, তাই শিব লিঙ্গ ধর্ষণের প্রতীক।",3,2,2,2,3
তর মতন হারামি প্রধানমনএীর দিকে না দেখে রাসতার নেড়িকুওীর দিকে চাইলে মনে শান্তি লাগে। মিয়ানমারের মুসলিমদের হত্যা নিরযাতন করছে তর কোন বকতব্য নাই।আর যদিতর মদি বয়ফ্রেন্ডের জাতি মালাউনদের হত্যা করত তাহলে দেশের সেনাবাহিনিকে যুদ্বের জন্য প্রস্তত থাকার নিরদেশ দিত।,2,2,2,2,2
বর্তমান আওয়ামিলীগ টা একটা নাস্তিক দলে পরিনত হয়েছে।,2,2,2,2,2
বাংলার এই দালালের বাচ্চা দালালরা বাংলায় মালাউনরা এখনও অনেক ভালো আছে ভারত মায়ানমার গিয়া দেখ মুসলমান দের কি ভাবে নির্যাতন করাতেছে তারপরও এই সরকার হিন্দুরের প্রতি অনেক সহনশীল বি এন পি থাকলে সব হিন্দু ভারত পাঠাইতো এই দালালরা আগে নিজে ঠিক হয়েনে পরে অন্যনের দোষ নিয়ে কথা বলিস,2,2,2,2,2
আপনার ধর্মে অমুসলিমদেরকে হত‍্যাকরার নির্দেশ দিয়েছে আপনাদের মাগীখোর নবী মহম্মদ আর আল্লাহ,3,2,2,3,3
এই অধম জাতি কখন যে কোরআন-হাদীস বুঝবেন আল্লাহই ভাল জানে।।,2,2,2,2,2
আল্লাহ নাস্তিকদের হেদায়েত দেওয়ার আগে এই মোল্লাগুলোকে হেদায়েত দাও,2,2,2,2,2
ঢাকায় অবস্থান রত সকল বৌদ্ধ মালাউনদের হত্যা করার আহবান জানিয়েছেন যুক্তরাজ্য প্রবাসী নেতৃবৃন্দ।,2,2,2,2,3
দে শেষ করে দে মালাউন দের,2,2,2,2,3
"এ লোকের মত,যে পবিত্র কোরআন সম্পর্কে অভিজ্ঞ, সে নাস্তিকদের সাথে তর্কে যাবেন,দাঁতভাঙ্গা উত্তর দিবেন",2,2,2,2,2
মালাউনের জাত ডান্ডি মানেই ভীতু?,2,2,2,2,3
এক নাস্তিকের সাথে আলাপ হচ্ছিল তিনিও এই মাথামোটা এই মোফাচ্ছিলের মত।,2,2,2,2,2
তোদের হিজরা আল্লা সমকামি কুত্তা দিয়া পুটকি মারা নেয় ।,2,2,2,2,3
গল্পের রাম-কৃষ্ণের সাথে কি বাস্তবের নরপিশাচ মুহম্মদের তুলনা হয়?,3,2,2,2,3
এডমিন যে মালাউন তা আগের অনেক পোষ্টে প্রমান পেয়েছি।,2,2,2,2,3
রাহুল ভাই আমি একজন হিন্দু হয়ে বলছি মুফতি মাসুদ একজন মূর্খ এদের মত মূর্খদের কখনো বোঝানো যাবে না আর আপনি ওকে বাইবেল পড়তে বলছেন ও পড়তে পারে,2,2,2,2,2
"ফেরদৌসী প্রিয়ভাষিনী মইরা গেলে, পোড়াবে না কবর দিবে?",2,2,2,2,2
রিকশায় চেপে ঢাকনা দিয়ে খারাপ কাজ করা হারাম,2,2,2,2,2
তোমরা তো কোরানের পোদ মেরে মেরে মধু বের করে দিলে..,3,2,2,2,2
ইংল্যান্ডের দেওয়া বাঁশটা হোগা থেকে আগে বের কর নাহলে বেঘোরে নির্ঘাৎ মারা পড়বি হালার পো হালা মালাউনের জাত ।,2,2,2,2,3
বুবুর বুকটা ফাইটটা যায় মালাউন দের লাইগা,2,2,2,2,3
এসব খবর উদ্দেশ্যমুলক এবং ষড়যন্ত্র।পাকিস্তানকে আমেরিকার নতুন সরকারের কাছে সন্ত্রাসী রাষ্ট্র হিসাবে প্রমাণ করার জন্য ভারতীয় মালাউন কাফিরদের চক্রান্ত। এগুলো মিথ্যা মনে হয়,2,2,2,2,3
আজ থেকে বছর আগে আমিনুল ইসলাম বুলবুল একাই তোদের সাথে রান করেছিল।তখন তো তুই নিজেই দলে ছিলে।শালা মালাউন গাঁজা বেশি খাইছে,2,2,2,2,3
মুহম্মদ দুনিয়াতেই মাগিবাজি লম্পটগিরি করল তার উন্মত জন্নতে মাগীবাজি করবে।,3,2,2,2,3
"যখন শিক্ষকদের লাঞ্ছিত করে হত্যা করে তখন প্রতিবাদ হয়, প্রতিবাদ নিকৃষ্ট জানোয়ারকে অপমান করলে, এট্ইা কি ধর্ম নিরপেক্ষতা?",2,2,2,2,2
মূর্তিকে প্রতিদিন গোমূত্র দিয়ে গোসল করান দেখবেন আল্লাহ আরো জ্ঞান বাড়িয়ে দিবে।,3,2,2,2,3
সব ইহুদিকে একবারে হতা করলে ভালো হতো,2,2,2,2,2
নিউজ দেখে কিছুই বলার নাই শুধু হতবাক হই।আমাদের নিরীহ মুসলিমদের মেরে শেষ করে দিচ্ছে তাতে কোন শোক নাই মাথা ব্যথা নাই।অথচ মালাউনদের জন্য উনার শোক হয় আবার উনি নিজেকে মুসলিম দাবি করে। ছিঃ ছিঃ ছিঃ হাসিনা,2,2,2,2,2
রাহুল ভাই দাদা কে বলেন হিন্দু ধর্মে মূর্তি পূজা করা কোন জায়গায় জায়েজ আছে,2,2,2,2,2
কোটি মুসলিমদের বাস ভারতে আবালরা তারা কি মালাউন,2,2,2,2,2
"দরজার কাছের ঘাষ গরুতে খায় না তাইতো অন্যান্য দেশের লোক মুসলিম হলেও ইন্ডিয়ার লোক মুসলিম হচ্ছে না,আলহামদুলিল্লাহ তারাই সৌভাগ্যবান যারা ইসলাম ধরমো গ্রহন করেছে",2,2,2,2,2
ভবিষ্য পুরাণ হিন্দুদের ধর্মগ্রন্থ যদি হয়ে থাকে এবং সেই গ্রন্থে জ্যোতি মোহাম্মদের নাম উল্লেখ থাকে যে মোহাম্মদ নামে একজন ডাকাতের আবির্ভাব হবে তাহলে ১০০% মেনে নিতে কোনো অসুবিধা নেই যে হিন্দুধর্ম একটি সত্য ধর্ম।,3,2,2,2,2
খেজুরে অনেক সেক্স তাই আরবিরা খেজুর খায়ে একের অধিক বিয়ে করে।,2,2,2,2,2
আমাদের ধর্মে আছে কোন পূজাতে টাকা দেওয়া ইসলাম শরীয়তে জায়েজ নয়,2,2,2,2,2
"তোরা ত সব জানতা,অতই জানতা ত হিন্দু দের কেন তারাছিস,সালা মোল্লা",2,2,2,2,3
"মালয়েশিয়া ও ইন্দোনেশিয়ায় রামায়ণের নাট্য রূপান্তর করে,ওদের নোটের ওপর গড়ুরের ছবি ছাপা হয়ে থাকে,তাহলে ঐ দেশগুলোর লোকও কাফের।",2,2,2,2,2
রাহুল ভাই! আপনি যদি দেবাকরকে সবচেয়ে আগে কাফের এর সংজ্ঞা টা সঠিক ভাবে বোঝাতেন?তাহলে বিষয়টা আরও পরিষ্কার হতো সবার কাছে,2,2,2,2,2
ভারতের পাডা আর দামড়া ভিখারির বাচ্চারা এখানে ভিক্ষা চাইতে আসছে । এই ভিখারিরা ভিক্ষা না পাইলে এখানে এরকম বলদের মত লাফালাফি করবে । ভারতের এই ভিখারিগুলোকে দুই টাকা ভিক্ষা দেওয়া হোক । গো মূত্র খাওয়া মালাউন বস্তির দেশে কিছু পায় না তাই আমাদের কাছে হাত পেতে টাকা নিতে আসছে রেন্ডিয়ার ভিখারিরা ।,2,2,2,2,3
"তোরা হিন্দুরা হলি গুহাবাসী,আদিমযুগে পরে আছিস,তোদের নুনু শিবলিঙ্গের মতো দেখতে হয়ে যাবে তখন আবার তোদের শিব কস্ট পাবে।",2,2,2,2,3
তুই কোন মাগির বাচছা রে গরুর মল ও মুত খ্যাক্যা মালাউন যদি কুরআনের একটি বর্ণ ভুল পাস তাহলে মনে কর তুই মালাউন,2,2,2,2,3
মুসলিম নামের নাস্তিকরা এখন দেখিস না তোর হিন্দু বাপেরা মুসলিমদের প্রকাশ্যে ধর্ষন করলো,2,2,2,2,3
নবি করিম বলেছেন হে মুমিনগন তুমরা মক্কায় এসে কাবা ঘরে তুমাদের মা বোনকে চুদবে ।,1,2,3,2,3
নাস্তিকরা নিজেকে অনেক বড় মাপের বিশ্লেষক ভাবে। তারা কখনোই পূর্ণ আয়াতের অনুবাদ করে না। আংশিক কিছু আয়াতের ব্যাখ্যা করে অযৌক্তিক সমালোচনা করে। আর প্রত্যেকবারই নিজেকে মূর্খ বলে পরিচয় দেয়।,2,2,2,2,2
তর মায়রে চুদি মালাউনের বাচ্চা। বাংলাদেশ কি করবে আর কি করবে না সেটা তোরা বলার কে। তোদের কারনে বাংলাদেশ ধংশের দিকে যাচ্ছে,2,2,2,2,2
রাবন সিতাকে নিয়ে গিয়ে চুদে মুদে শেষ করে যখন সিতাকে ফিরিয়ে দেয় শালা রাম নিজ দেশে ফিরে গিয়ে রাবন বধের বিরাট কাহিনি বানিয়ে মানুষকে কোনভেন্স করে যে তার সিতা ভার্জিন।,3,2,2,2,3
তোদের বাবা নবি খানকির পুত মাগিবাজ দাসি কিনে চুদা দিত।মানে তখনকার জনি সিন্স ভাই হল তদের নবি।,3,2,2,2,2
তোর আল্লাহর বল বাড়া কাটা অবস্তাই জন্ম দিতে।,2,2,2,3,3
তুই তো টাকার কাছে তোর ধর্ম বিক্রি করছ। তুই তো মানুষ নামের জানোয়ার হারে নাস্তিক আল্লার ক্ষমা চা।,2,2,2,2,2
ছাগল যদি পাগল হয় জান্নাতে মদের নহর ৭২ টি হুর আর গনি মতে মাল দাতাল হুজুর ১০০টি থকলেই ইসলামে গোয়ামারা সারা,3,2,3,2,3
তুই বাংলাদেশে একটা দেখা কোন হিন্দু কাওকে রেপ করছে। আর তোরা নিজেরা দেখ নুসরাত। নিজের মেয়ে। কাজের মেয়ে। কেউ তোদের কাছ থেকে রেহাই পায় নাই।,2,2,2,2,2
ইসলাম বিরোধি কথা যে বলবে তাকেই বয়কট করতে হবে !,2,2,2,2,2
মুসলিম গরু চোর সন্ত্রাসী বাংলাদেশীদের হিন্দুস্থান থেকে বাহির হতে হবেই,2,2,2,2,3
রক্ত যখন দিয়েছি আরও দেবো মুর্তি বানানো বন্ধ করবো,2,2,2,2,3
আমার ইসলাম নিয়ে কেউ বাজে কথা বললে আমার কলিজার ভিতর আগুন জ্বলে উঠে।,2,2,2,2,2
মুর্খের সাথে তর্ক করা ইসলামে তো নিষেধ,2,2,2,2,1
ইসকন কি? কে তাদের চালায়?,2,2,2,2,2
"জুমার দিনে ঝগড়া করছে মাস্ক এবং টুপি নিয়ে, আরেক জন এসে তাদের জিজ্ঞাসা করে দুইজনেরই দাড়ি কোথায়?",2,2,2,2,2
জাগে হে মুসলিম সন্তান জেগে ওঠে এই পিথিবি থেকে মালাউনেরদের নাম চিরতরে মুছে দিতে হবে রেনডিয়ারদের কুত্তার মতো করে মারার জন্য ধন্যবাদ পাকিস্তান সেনাবাহিনী কে দেখা মাত্রই ডাইরেক্ট ফায়ার ধংস হোক সালার রেনডিয়া ও মালাউনরা ইনশাআল্লাহ জয় আমাদের হবেই হবে দেখি সালারা জাই কোন দিকে,2,2,2,2,3
মালাউন মরছে হে হে মালাউন মরছে হে হে হে,2,2,2,2,3
এই মালাউনের বাচ্চারা ভারতের দালাল সালারা,2,2,2,2,3
নামাযের কথা শুনলে আপনার ফাটে কেনো।,2,2,2,2,2
"আল্লাহ সকল অহংকারীকে উচিৎ শিক্ষা দিয়েছেন, দিচ্ছেন এবং ভবিষ্যতেও দিবেন।",2,2,2,2,2
"ফেরদৌস ভাই প্রকৃত পক্ষে একজন ধর্মন্ধ প্রকৃত মূর্খ মানুষ,ও নিজে আত্ততুষ্টিতে ভোগা লোক।",2,2,2,2,2
"চোরে চোরে মাসতুত ভাই, নাস্তিক আর ধর্ম ব্যবসায়ী একসাথে তাই",2,2,2,2,2
আমাদের ধর্মে এই সেক্স অডিডিক্ট নবী কে কেন ঢোকানো হচ্ছে। যে কিনা সেক্স করার জন্য ৬ বছরের মেয়ে বিয়ে করে।,3,2,2,2,2
জই মালাউনের জই মালুর পুটিকি মার,2,2,2,2,3
উপরে কিছু কুকুর ঘেউ ঘেউ করছে।মালাউন মালাউন মনে হয়।,2,2,2,2,3
তোদের যত ধর্মগুরু আছে ওপেন চ্যালেঞ্জ থাকলো ডিবেটে বসার জন্য ছড়াছড়ি হয়ে যাবে সব,2,2,2,2,2
আমি যে তোদের সাজানো গুজানো হট সেক্সি দুর্গা স্বরসতি আর আফ্রিকান নিগ্রো কালীকে দেখে হাত মেরেছি হিসাব নেই।,3,2,2,2,3
পুজায় হিন্দুদের চেয়ে মুসলিম ছেলে মেয়েকেই নাচানাচি বেশি করতে দেখা যায়।,2,2,2,2,3
তোদের পুরোহিতদের আমি হিংসা করিরে তোদের সেক্সি স্বরসতির সাথে ঐ ব্যাটা একাই সেক্স করে মন্দিরে রাতে লুকিয়ে লুকিয়ে।,3,2,2,2,3
৬০-৭০ বছরের মানসিক বিকারগ্রস্ত ধর্ষক মুসলমানরা ৬-৭ বছরের বাচ্চা মেয়েদের বিছানায় নিতে পাগল হয়ে থাকে।,2,2,2,2,3
"গরুর গু খেয়ে এদের মাথায় গোবরে ভরে গেছে, তদের মতো ফালতু ধর্ম আর কোনো ধর্ম নাই",2,2,2,2,3
মালাউনের বাচ্চা তোদের উপর আল্লাহর লানত তাই তোদের কপালে গরুর মাংস নাই আল্লাহ তোদের জন্য রেখেছেন শুধু গরুর মুএ তাই শুধু মুএ পান কর আর চুপ থাক,2,2,2,2,3
মুসলিম নায়কদের ছবির আয় ভারতরাষ্ট্রের উন্নয়নে ব্যাপক অবদান থাকলেও ভারতের প্রতিটি মালাউন সরকার ও মালু জনগণ মুসলমানদের প্রতি অবিচার যুলুম করে থাকে,2,2,2,2,3
আমেরিকার রাষ্ট্রপতি ডোনাল্ড ট্রাম্প বলে দিয়েছে মুসলিম আতঙ্কবাদি,2,2,2,2,3
এগুলো কাট মোললা বলা হয় এরা কি নিজেকে মুসলিম মনে করে জাকির নাকেয় য়ের জুতা টানার মতো জগোতা হয় নাই,2,2,2,2,2
"মেধাবী যখন শিবির হয়,যখন মাদকাসক্ত হয় তখন এসব ঘটবে আবারো।",2,2,2,2,2
তুমি সহ তোমার এই গ্রুপ মনে হয় ইহুদী । তাই তোমাদের এমন আহ্বান । কারণ কোন সত্যিকারের মুসলিম কোন মুসলিমকে ভালো কোন কাজ থেকে বিরত থাকার আহ্বান জানায়না । বুঝেছ মালাউনের জাত ।,2,2,2,2,3
লুচ্চা ধর্ষক শিশুকামী মুহম্মদের সাথে রবীন্দ্রনাথের অনেক মিল আছে।,3,2,2,2,3
মালাউনের বাচ্ছার বয়সটা তো বেশি হয়ে গেছে তাই নেটে কাজ করে না,2,2,2,2,3
হে মেডাম আপনি তো ৯০ ভাগ মুসলমানদের দেশের মুসলমানদেরই ছাপর্ট দেন্না,2,2,2,2,2
রেন্ডি মালাউন মরলে আনন্দ পায়না যে জন কে বলে মানুষ তারে আম্লিগ সে জন ৷৷৷৷,2,2,2,2,3
নাস্তিক দের মুখে কুকুরও প্রস্রাব করতে ঘৃণা বোধ করে আর ভালো মানুষ তো আরো বেশী করে তাদের ঘৃণা করে অন্তর থেকে।,2,2,2,2,2
তোমার চেহারার দিকে তাকিয়ে দেখ তোমাকে মোটেও ভাল মানুষ মনেহয়না শয়েতানের মত লাগে,2,2,2,2,2
মালাউন রা দেখ আল্লাহর গজব কি ভাবে হয়,2,2,2,2,3
তর মাকে চোদা শালা মালাউনের বাচ্ছা,2,2,2,2,3
বোকা ছেলে ভুল ভাল বচন দিস। শিবই শ্রেষ্ঠ জানিস না,2,2,2,2,2
জানেন কি? দ্রৌপদী পূর্ব জন্মে ১৪ গুন সম্পন্ন স্বামীর বর চেয়েছিল মহাদেবের কাছে!!! ১৪ টি গুন একসাথে কোনো মানুষের মধ্যে থাকতে পারে না!!!,2,2,2,2,2
হিন্দুরা নাস্তিকদের গালি দেয় না কিন্তু মল্লারা গালি দেয় কারণ কি?,2,2,2,2,2
কখন না আমাদের মসজিদে কারোর বাপের খমোতা নেই গান দিয়ে নাচ গান করার। আর আমাদের ঈদের মাঠেও না।,2,2,2,2,2
তাহলে কি আপনাদের ধর্মের নিয়ম এটা যে যদি একজন পরিবারে চার পাঁচ জন ভাই থাকে আর তাদের মধ্যে যদি যে কেউ একজন বিয়ে করলে তাহলে এটা থেকে সবাই ভাগ পাবে?,2,2,2,2,2
এদেরকে কোনো গালিগালাজ করবো না কারণ আমরা মুসলিম। এদের বিচার আমার আল্লাহ্ নিজে করবেন।,2,2,2,2,1
তোদের শিব ছিল একটা নপুংসক তার সন্তান উৎপাদন করার মত বীর্য ছিল না তাই সে দুর্গার ভোদায় ঠাপাইলেও কোন লাভ হইত না,3,2,2,2,3
শালা মালাউন মরন কে সরন করে তওবা পরে নে,2,2,2,2,2
চাকরি যেমন দিছে তলে তলে মালাউন গো তিন হাত ভরে ও দিছে,2,2,2,2,3
রাজের বাচ্ছা ফেরাউন হিনুর পুত মালাউন নারকের আগুন,2,2,2,2,3
শালা মালাউনের বাচ্চা আবার শ্রেষ্ঠ শিক্ষক,2,2,2,2,3
মুসলিম কখনো জুতো চুরি করেনা বরং জুতো চোর ই মুসুল্লি সেজে মসজিদে ঢোকে,2,2,2,2,2
আর্য রা আসার পরে বেদ চালু হয়েছে। আর্য রা বহিরাগত ছিলেন।,2,2,2,2,2
জুডিসিয়াল হত্যার পুরস্কার এবং ধর্মনিরপেক্ষ রাষ্ট্র প্রমান করতে বাংলাদেশের কুলাঙ্গার এস কে সিনহা,2,2,2,2,2
আমাদের দেশে দাড়ি রাখলে পুলিশে ধরে অথচ আখেরাতে দাড়ি না রাখার জন্য আল্লাহ ধরবে সে চিন্তা করে না,2,2,2,2,2
হিন্দু ধর্মই একমাত্র চোদাচুদির ধর্ম ।,2,2,2,2,3
হিন্দু ভাই টা গো মোত খেয়ে আসছে । হিন্দু ভাই দের লজ্জা খুব কম,2,2,2,2,3
ত্র লাইকার বয় সালা মালাউনের বাচ্চা বেশি পকপক করবি পাছায় লাথি মেরে হিন্দুস্থান পাঠিয়ে দেব ওখানকার মালুরা তোকে পুরিয়ে নেবে সালা মুসলিমদের সাথে পকপক করোছ,2,2,2,2,3
"৫ মে রোববার, মধ্যরাতে গুলিবিদ্ধ অবস্থায় পড়ে আছে কয়েকজন হেফাজত কর্মী",2,2,2,2,2
"একজন সাধারণ মুসলমান ভাই হিন্দু ধর্ম নিয়ে যা জানেন,কোন হিন্দু গুরুও তা জানেনা",2,2,2,2,2
হিন্দুদের সবচেয়ে বড় সমস্যা হিন্দুরা নিজেরা তাদের ধর্মীয় গ্রন্থ পড়ে না।,2,2,2,2,2
তোরা তো সব কয়টা হিজরা তোদের হুরের কথা শুনলেও তো ভয় করে।,3,2,2,2,3
ইসলাম নিয়ে যে খারাপ মন্তব্য করবে এবং ইসলামের বিরোধিতা করবে এই জালিমদের বাংলার জমিনে তাদের কে ছাড় দেওয়া যাবে না।,2,2,2,2,2
সালা মালাউন শেষ করে ফেলুক কাশ্মীরে অনেক মুসলিমদের হত্যা করেছে পাকিস্তান জিন্দাবাদ,2,2,2,2,3
সে গন্ধ নেওয়ার জন্য মালাউনরা দৌরে,2,2,2,2,3
বলুনত হিন্দু ছেলেরা মদিরের বারেন্দা মদ খায় ও জুয়া খেলে কেন,2,2,2,2,3
জাকির সন্ত্রাসী কার্যকলাপ এর সাথে যুক্ত । সে ধর্মের কী ব্যাখ্যা দেবে ।,2,2,2,2,2
হজম সক্তি নাই বেটা মালাউন। আপনার মত অনেক মারখেয়ে মরতছে বাগ্গিস দুদুক নিরাপ্তা দিছে।,2,2,2,2,3
যুগে যুগে তোর মত বেশ্যা পল্লীতে জন্ম নেওয়া পোলাপাইন আসবে কিন্তু কোরআন হাদিসের একটা শব্দও এদিক ওইদিক করতে পারবে না,2,2,2,2,3
"তুই একটা সুবিধাবাদি,তুই হিন্দু ও না আবার মুসলিম ও না, তুই একটা নাস্তিক।",2,2,2,2,2
নাস্তিকদের কাজ হলো ই হলো ইসলামের বদনাম করা..তবে তারা সফল হবে না..,2,2,2,2,2
তারা যাদের পুজা করে একটা মশা সৃষ্টি করার মতো ক্ষমতাও তার নেই।,2,2,2,2,2
তাহলে ভররররত কে ঘোষণা করা হউক ধর্ষণের দেশ নস্ট জাতি চোরের জাতি বেজন্মাদের জাতি মালাউন জাতি,2,2,2,2,3
"একজন সাধারণ মুসলমান ভাই হিন্দু ধর্ম নিয়ে যা জানেন,কোন হিন্দু গুরুও তা জানেনা ,এই ভিডিও ও তার প্রমান",2,2,2,2,2
হয়ত মন্ত্রি মহুদয় এই সব কারনেই মালাউনের বাচ্চা বলেছে।,2,2,2,2,3
"নাস্তিক বা হিন্দুরা আপনার এই ধরনের বক্তব্য শুনে আরো চটে যাচ্ছে, রেগে যাচ্ছে",2,2,2,2,3
তোমরা ব্যবসার জন্য ধর্মকে কেন্দ্র করে এইগুলো যা করছ সব ভোকাস।,2,2,2,2,2
আপনারা যারা এতবাজে কমেন্ট করেছেন যে আপনারা মুসলিম না কাফের।,2,2,2,2,1
কাশ্মীরে কুত্তার মতো মারখেয়ে চলেছে ভারত তাই জাতির দৃষ্টিকে ভিন্নদিকে ঘুরানোর জন্য নতুন প্লান মালাউন গুলারে ধোকা দেয়ার সামিল,2,2,2,2,3
আল্লাহ যে সব জালেম লোকেরা তোমার কোরআন কে এমন ভাবে অপমান করেন তাদের বিচার তুমিই করো,2,2,2,2,2
জয় শ্রী রাম বলে মানুষ হত্যা করা হচ্ছে ভারতে।,2,2,2,2,3
হায়রে আজহারিকে ফ্যামাস করার জন্য শেষ পর্যন্ত মন্দিরে ডুকলো,2,2,2,2,2
কিছু নামধারি কুলাংগার মুসলিমরা পুজাতে যেয়ে কুকুর বানরের মত নাচানাচি করছে ওরা মুসলিম নামের কলংকো পারলে ওদের বাবা মাকে জানান.,2,2,2,2,2
এই শালা মালাউনের বাচচ্চাবলে কি রে।,2,2,2,2,3
"তবে আর যাই বোল তোদের নিরামিষ খাওয়া মা বোন গুলা সেই,আর তোদের হট সেক্সি দেবি গুলা আহহ সেই সেক্সি যেভাবে সাজিয়ে গুজিয়ে রাখিস সেই হট লাগেরে,ইচ্ছে করে আমার ১০ ইঞ্চি শিবলিঙ্গটা ঢুকিয়ে দেই।",3,2,2,2,3
"বিবি হাওয়া মাগি ছিল,তদের মা ফাতেমা নডি ভোদার রস বেশি কুত্তা দিয়া চুদি ফাতেমা রে।",3,2,2,2,3
যদি পৃথিবী ধ্বংস হয় তবে তার কারণ হবে মুসলিম ।,2,2,2,2,3
বাংলাদেশের মুসলিম লোকেরা মানুষ না সব কুকুর ।,2,2,2,2,3
